Country,Frequency
United States,122
Germany,15
South Africa,95
Egypt,84
Israel,8
France,26
Côte d'Ivoire,26
Italy,17
UK,22
Greece,20
Sierra Leone,9
Turkey,14
"Saint Helena, Ascension and Tristan da Cunha",1
Nicaragua,2
Liberia,3
United Kingdom,36
Romania,13
Canada,7
Mauritius,2
Ireland,8
Grenada,3
Ghana,38
Eswatini,8
Algeria,14
Portugal,18
Mozambique,1
Niger,2
Guinea,39
Senegal,11
Gambia,9
Australia,6
Angola,3
India,14
Netherlands,5
Malaysia,1
Bosnia and Herzegovina,2
Benin,5
Brazil,4
Spain,15
Morocco,6
Libya,6
Tunisia,18
Jamaica,2
Ukraine,1
Nigeria,5
Ethiopia,10
Turkmenistan,4
Qatar,1
Lebanon,3
Uruguay,2
Switzerland,6
Syrian Arab Republic,13
Panama,2
Jersey,1
Philippines,7
"Venezuela, Bolivarian Republic of",1
Gabon,1
Norway,3
"Palestine, State of",2
Denmark,2
Hungary,1
Bahamas,1
Zimbabwe,1
Georgia,1
Pakistan,1
Madagascar,4
China,3
nan,1
North Macedonia,2
Armenia,2
Japan,1
Mauritania,4
Cyprus,1
Central African Republic,1
"Tanzania, United Republic of",2
Kenya,1
Sweden,1
Argentina,1
