Country,Frequency
United States,96
Ireland,4
South Africa,49
United Kingdom,24
Greece,31
Côte d'Ivoire,12
Germany,5
Slovakia,2
Egypt,287
India,23
China,3
Cambodia,1
Gibraltar,1
Malaysia,2
Guinea,7
Maldives,1
Ethiopia,17
Sierra Leone,5
Italy,10
Colombia,1
Tunisia,15
Cyprus,16
Romania,18
Netherlands,2
Canada,20
Syrian Arab Republic,40
Jamaica,1
France,23
Peru,1
Ghana,9
Turkey,20
Spain,3
"Venezuela, Bolivarian Republic of",1
Liberia,2
Japan,5
Kenya,2
Mali,2
Nicaragua,1
Libya,18
Jordan,1
Algeria,10
Saudi Arabia,7
Philippines,1
Mexico,1
Lebanon,7
Yemen,1
Brazil,1
Norway,1
Sweden,1
Panama,2
Turkmenistan,2
Morocco,2
Nigeria,1
"Tanzania, United Republic of",1
Malawi,1
Uruguay,1
Somalia,4
Cuba,1
"Palestine, State of",5
Sudan,1
Malta,2
Mauritania,1
Senegal,1
