Country,Frequency
Sweden,16
Germany,103
United States,387
France,345
Italy,189
Denmark,16
Romania,160
Norway,8
South Africa,16
United Kingdom,246
Turkey,42
Ireland,40
Hungary,10
Angola,7
Portugal,32
Netherlands,61
Ghana,5
Anguilla,1
Spain,95
China,14
Russian Federation,7
Malaysia,1
Syrian Arab Republic,26
Libya,5
Panama,3
Canada,5
Peru,4
Cuba,1
Greece,232
Madagascar,1
Mexico,6
Guinea,4
India,22
Nicaragua,2
North Macedonia,13
Côte d'Ivoire,2
Egypt,38
Niger,1
Lebanon,6
Belgium,9
Indonesia,1
Switzerland,24
Jamaica,2
Tunisia,3
Saudi Arabia,8
Ukraine,20
Cyprus,3
Armenia,11
Gibraltar,3
"Korea, Republic of",1
"Palestine, State of",3
Morocco,2
Liberia,1
Estonia,1
Philippines,5
Japan,5
Turkmenistan,5
Czechia,3
Chad,1
Sierra Leone,2
Ethiopia,3
Argentina,2
Georgia,4
Poland,13
Israel,1
Colombia,4
Albania,2
Brazil,1
Saint Lucia,1
"Venezuela, Bolivarian Republic of",3
Algeria,2
Serbia,2
Bulgaria,2
New Zealand,1
Puerto Rico,2
Kazakhstan,1
Nigeria,1
Uruguay,1
Afghanistan,1
Azerbaijan,1
Slovakia,1
Greenland,1
Croatia,1
Jordan,1
Luxembourg,1
