Entry,City,Country code,Edition,Country,Continent
"Aahus, a town in Germany, II. 2",,DE,7,Germany,Europe
"Aalen, in Wirtemberg, II. 3",Aalen,DE,7,Germany,Europe
"Aalsmeer, a town in Holland, II. 3","Aalsmeer, Holland","NL,US",7,"Netherlands,United States","Europe,North America"
"Aalten, a town in Holland, II. 3","Aalten, Holland","NL,US",7,"Netherlands,United States","Europe,North America"
"Aam, a Dutch liquid measure, II. 3",,NL,7,Netherlands,Europe
"Aahadot, a town in Norway, II. 3",,NO,7,Norway,Europe
"Aarau, in Switzerland, II. 3",Aarau,CH,7,Switzerland,Europe
"Aarburg, in Switzerland, II. 3",,CH,7,Switzerland,Europe
"Aardexburg, a Dutch town, II. 3",,NL,7,Netherlands,Europe
"Aarhuits, in Denmark, II. 3",,DK,7,Denmark,Europe
"Aaserald, a town in Norway, II. 4",,NO,7,Norway,Europe
"Aastrup, a town in Denmark, II. 4",,DK,7,Denmark,Europe
"Abagaitoutes, in Russia, II. 9",,RU,7,Russian Federation,Europe
"Abanilea, a town in Spain, II. 9",,ES,7,Spain,Europe
"Abano, a town in Italy, II. 10",,IT,7,Italy,Europe
"Abany, a town in Hungary, II. 10",,HU,7,Hungary,Europe
"Abaran, a town in Spain, II. 10",,ES,7,Spain,Europe
"Abastas, a town in Spain, II. 11",,ES,7,Spain,Europe
"Abaujvab, in Hungary* II. 11",,HU,7,Hungary,Europe
"Abbehagsen, in Germany, II. 12",,DE,7,Germany,Europe
"Abbeville, in France, II. 13",Abbeville,FR,7,France,Europe
"Abbeyboyee, an Irish town, II. 13",,IE,7,Ireland,Europe
"Abbeyhoem, in Cumberland, II. 13, Abbiate Graffo, in Italy, II. 13",Cumberland,"IT,US",7,"Italy,United States","Europe,North America"
"Abejar, a town in Spain, II. 23",,ES,7,Spain,Europe
"Abellinum, a town in Italy, II. 25",,IT,7,Italy,Europe
"Abenas, a French town, II. 25",,FR,7,France,Europe
"Aberdare canal, XVI. 7",Aberdare,GB,7,United Kingdom,Europe
"Abiaga, a town in Spain, II. 36",,ES,7,Spain,Europe
"Abiaul, a town in Portugal, II. 36",,PT,7,Portugal,Europe
"Abingdon, a town in Berkshire, II. 37",Abingdon,GB,7,United Kingdom,Europe
"ABI—ABR Abingdon (Lord), on royal prerogative, XVIII. 519",Abingdon,GB,7,United Kingdom,Europe
"Abla, a town in Spain, II. 37",,ES,7,Spain,Europe
"Abeach, a river in Germany, II. 37",,DE,7,Germany,Europe
"Abeanquejo, a river of Spain, II. 38",,ES,7,Spain,Europe
"Ablecti, Roman soldiers, II. 38",Roman,RO,7,Romania,Europe
"Abeitas, a town of Spain, II. 38",,ES,7,Spain,Europe
"Abloch, a river of Germany, II. 38",,DE,7,Germany,Europe
"Abnoba, German mountains, II. 38",,DE,7,Germany,Europe
"Abo, a city in Finland, II. 38 ; IV. 330 Aboard, the inside of a ship, II. 39",,FI,7,Finland,Europe
"Abod, a town in Hungary, II. 39",,HU,7,Hungary,Europe
"Abolition, in Roman law, II. 39",Roman,RO,7,Romania,Europe
"Abrahamsdorf, in Hungary, II. 42 Abramis, fish, XII. 198",,HU,7,Hungary,Europe
"Abrantes, a town of Portugal, II. 42",,PT,7,Portugal,Europe
"Abries, a town in France, II. 43",,FR,7,France,Europe
"Abrucenbs, a town in Spain, II. 43",,ES,7,Spain,Europe
"Arrud-Banya, in Hungary, II. 43",,HU,7,Hungary,Europe
"Abuchow, a village in Russia, II. 47",,RU,7,Russian Federation,Europe
"Abulawo, a Russian town, II. 47",,RU,7,Russian Federation,Europe
"Abuzow, a town in Russia, II. 48",,RU,7,Russian Federation,Europe
"Academies, II. 65—first establishment of, in Italy, England, and France, I",,"IT,FR",7,"Italy,France","Europe,Europe"
" , French. See French",,FR,7,France,Europe
"Acasna, a Greek measure, II. 80",,GR,7,Greece,Europe
"Acarnania, in Greece, II. 81",,GR,7,Greece,Europe
"Accalia, Roman festivals, II. 81",Roman,RO,7,Romania,Europe
"Accent, II. 83—Greek accents, XVII",,GR,7,Greece,Europe
"Acequaria, a town of Modena, II. 92",Modena,IT,7,Italy,Europe
"Acequi, an Italian city, II. 92",,IT,7,Italy,Europe
"Acera, town in Spain, II. 92",,ES,7,Spain,Europe
"Acerno, a town of Italy, II. 92",,IT,7,Italy,Europe
"Acerra, II. 92",Acerra,IT,7,Italy,Europe
"Acher, a river of Baden, II. 95",Baden,CH,7,Switzerland,Europe
"Achern, a city of Baden, II. 96","Achern, Baden","DE,CH",7,"Germany,Switzerland","Europe,Europe"
"Achonry, a town in Sligo, II. 97",Sligo,IE,7,Ireland,Europe
"Achteling, German measure, II. 105",,DE,7,Germany,Europe
"Achtyrka, a Russian city, II. 105",,RU,7,Russian Federation,Europe
"Aciiyr, a Russian town, II. 105",,RU,7,Russian Federation,Europe
"Aclides, a Roman weapon, II. 106",Roman,RO,7,Romania,Europe
"Acqs, a town in France, II. 124",,FR,7,France,Europe
"Acquapendente, a town in Italy. II",,IT,7,Italy,Europe
"124 INDEX 3 ACQ—ACT Acquabia, a town in Italy, II. 125",,IT,7,Italy,Europe
"Acqui, a province and town in Italy, II",,IT,7,Italy,Europe
"Actio, in Roman antiquities, II. 131",Roman,RO,7,Romania,Europe
"Actoes, II. 133—their rank in Greece, VIII. 148, 152—in Rome, 152—their fate in England during the Civil Wars, ACT—ADD 170-1—effect of the monopoly of the London theatres on, 179","Rome, London","GR,US,GB",7,"Greece,United States,United Kingdom","Europe,North America,Europe"
"Actuaeius, a Greek surgeon, II. 133— XX. 825",,GR,7,Greece,Europe
"Addison (Lancelot), II. 144   (Joseph), II. 144—his opinion of the w’orks of Hobbes, I. 42—his censure of the French writers of his' age, 55—his reputation as a philoso¬ pher has suffered by the beauty and clearness of his style, 83—value of his essays in widening the circle of men¬ tal cultivation, 160-1—his papers on the pleasures of imagination, 161— Reasons for his being thought super- ADD—ADJ ficial, ib.—Quotation from, concern¬ ing ideas, with Dr Blair’s remarks thereon, 272—precision of his views relative to colours, 273—his definition of “fine writing,” 162—merits of his style and writings, ib.—his argument for the immortality of the soul, ib",Addison,"US,FR",7,"United States,France","North America,Europe"
"Adelfoes, a town in Sweden, II. 148",,SE,7,Sweden,Europe
"Adler, on Coptic, XI. 315",Adler,RU,7,Russian Federation,Europe
" office, London, XIII. 543",London,GB,7,United Kingdom,Europe
"Admont, an Austrian town, II. 159",,AT,7,Austria,Europe
"Adolphus Frederick, king of Sweden, XXL 26",,SE,7,Sweden,Europe
"Adon, a village in Hungary, II. 159",,HU,7,Hungary,Europe
"Adea, a seaport in Spain, II. 162",,ES,7,Spain,Europe
"Adeia, a city of Italy, II. 162",,IT,7,Italy,Europe
"Adrogation, in Roman antiquities, II",Roman,RO,7,Romania,Europe
"430—Scotch, VIII. 419; XIX. 760; IV. 408—their library in Edinburgh, VIII. 419; XIII. 300",Edinburgh,GB,7,United Kingdom,Europe
"Edile, Roman magistrate, II. 170",Roman,RO,7,Romania,Europe
