Country,Frequency
France,297
Switzerland,26
United States,165
Netherlands,59
Romania,100
Italy,141
Spain,94
Norway,12
Ireland,39
United Kingdom,186
Germany,158
Sweden,24
Finland,2
Poland,23
Brazil,7
Greece,60
Portugal,33
Guinea,4
Egypt,12
Saudi Arabia,1
Hungary,12
Ukraine,20
Nicaragua,7
Denmark,13
Iceland,3
Belgium,15
North Macedonia,5
Turkey,10
Albania,2
"Venezuela, Bolivarian Republic of",5
Philippines,2
Côte d'Ivoire,1
India,6
South Africa,6
Mexico,5
Syrian Arab Republic,3
Jamaica,3
Russian Federation,6
Ethiopia,5
Cyprus,2
Algeria,3
Gibraltar,2
Ghana,2
China,5
Japan,2
Canada,4
Czechia,7
Lithuania,5
Georgia,1
Peru,2
Croatia,2
Bulgaria,3
Tunisia,2
,1
Dominican Republic,1
Armenia,3
Panama,2
Estonia,1
Sierra Leone,1
Slovakia,7
New Zealand,1
Malta,2
Maldives,1
French Guiana,1
