Country,Frequency
Eswatini,46
Nigeria,9
Egypt,201
United States,58
Tunisia,6
Ethiopia,8
Morocco,21
Guinea,3
South Africa,130
Germany,8
United Kingdom,23
Madagascar,7
Malta,4
Mexico,7
Côte d'Ivoire,16
Norway,4
Poland,1
Portugal,5
Russian Federation,11
Spain,14
Sweden,4
Switzerland,10
Ireland,10
India,17
Lebanon,1
Algeria,24
Greece,10
Angola,5
Romania,10
Ghana,8
Italy,9
Netherlands,4
Austria,5
Brazil,9
China,11
France,20
Mauritania,2
Cameroon,1
Mozambique,4
"Congo, The Democratic Republic of the",2
Benin,4
Sudan,1
Sierra Leone,5
Liberia,9
Syrian Arab Republic,6
Canada,5
"Venezuela, Bolivarian Republic of",3
Mali,5
Central African Republic,1
Belgium,1
Denmark,2
Georgia,2
Hungary,1
Iceland,2
Jamaica,2
Japan,3
Jersey,1
Turkey,4
Libya,3
UK,2
Gambia,1
Peru,1
Uzbekistan,1
Philippines,3
Afghanistan,2
South Sudan,1
Togo,1
Zimbabwe,3
Senegal,2
Israel,1
Mauritius,3
Armenia,1
Colombia,1
New Zealand,1
Niger,3
Greenland,1
Chad,1
Pakistan,1
"Tanzania, United Republic of",1
Nicaragua,1
Bahamas,1
"Bolivia, Plurinational State of",1
Bulgaria,1
