Country,Frequency
United States,1576
Netherlands,8
Italy,26
Canada,101
Egypt,29
Panama,34
El Salvador,2
Mexico,104
Greece,21
United Kingdom,124
France,64
Ireland,36
Austria,8
Hungary,6
Brazil,11
China,21
Denmark,6
Germany,26
Japan,12
Philippines,11
Madagascar,1
Malta,3
Côte d'Ivoire,7
South Africa,16
Norway,11
Poland,4
Portugal,5
Russian Federation,20
Spain,35
Sweden,11
Switzerland,8
India,21
Jordan,1
Anguilla,1
Jamaica,15
Syrian Arab Republic,4
Brunei Darussalam,1
New Zealand,4
Georgia,2
Bahamas,9
Cuba,8
Australia,5
Peru,5
Barbados,1
Romania,12
Liberia,4
Colombia,9
Puerto Rico,5
Belgium,5
Nicaragua,15
Costa Rica,1
Saint Lucia,1
Cayman Islands,1
Lebanon,2
Turkmenistan,3
Israel,2
Iceland,6
Armenia,1
Turkey,8
Honduras,4
Curaçao,1
Greenland,5
Ghana,2
Dominica,1
UK,19
Jersey,2
"Venezuela, Bolivarian Republic of",2
Algeria,3
North Macedonia,2
Guatemala,3
Grenada,2
Uzbekistan,1
Afghanistan,2
Pakistan,2
Saint Vincent and the Grenadines,2
Mali,1
Montserrat,1
Sierra Leone,1
Ethiopia,1
Zimbabwe,1
Martinique,2
Saudi Arabia,1
Eswatini,1
Angola,1
Singapore,1
"Bolivia, Plurinational State of",2
Argentina,1
Trinidad and Tobago,1
Haiti,1
"Virgin Islands, British",1
Ecuador,1
Bulgaria,1
