Country,Frequency
United Kingdom,217
France,351
Greece,211
Germany,117
Netherlands,82
Romania,179
United States,382
Nigeria,5
Italy,269
Ireland,29
Switzerland,11
South Africa,22
Brazil,5
Canada,10
Spain,128
Saudi Arabia,6
Panama,9
Norway,12
Sweden,26
Denmark,19
Turkmenistan,7
Finland,3
Poland,4
Portugal,42
Armenia,11
Egypt,25
Philippines,11
Ghana,6
Sierra Leone,2
Hungary,11
Pakistan,1
Algeria,23
Turkey,36
Nicaragua,9
North Macedonia,19
Tunisia,2
Guinea,5
Ethiopia,4
Syrian Arab Republic,26
Bulgaria,4
Colombia,9
Peru,6
Ecuador,2
"Palestine, State of",1
Senegal,1
Morocco,2
New Zealand,1
Jamaica,2
Mauritania,1
Belgium,5
Malta,4
Lebanon,3
Ukraine,5
Niger,2
Uruguay,2
Albania,5
Georgia,3
Monaco,2
Gibraltar,6
Japan,3
India,20
Libya,5
Argentina,3
Mali,2
Iceland,2
"Venezuela, Bolivarian Republic of",8
Holy See (Vatican City State),2
China,8
Mexico,8
Russian Federation,5
Côte d'Ivoire,1
Paraguay,1
Cuba,2
Greenland,1
Slovakia,1
,1
Dominican Republic,1
Angola,8
Anguilla,1
Malaysia,1
Madagascar,1
Cyprus,2
"Korea, Republic of",1
Liberia,1
Estonia,1
Latvia,1
Czechia,1
Lithuania,1
Puerto Rico,1
Chad,1
Saint Lucia,1
Serbia,1
